equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15541,247,4/22/2024 6:34,0421-0247-06482,0.015
e15541,247,4/22/2024 6:34,0421-0247-06477,0.011
e15541,247,4/22/2024 6:35,0421-0247-06494,0.011
e15541,247,4/22/2024 6:35,0421-0247-06493,65.531
e15541,247,4/22/2024 6:35,0421-0247-06497,0.001
e15541,247,4/22/2024 6:35,0421-0247-06503,0.005
e15541,247,4/22/2024 6:36,0421-0247-06518,0.007
e15541,247,4/22/2024 6:36,0421-0247-06526,0.005
e15541,247,4/22/2024 6:36,0421-0247-06519,0.003
e15541,247,4/22/2024 6:36,0421-0247-06532,0.001
e15541,247,4/22/2024 6:36,0421-0247-06521,65.534
e15541,247,4/22/2024 6:37,0421-0247-06542,0
e15541,247,4/22/2024 6:37,0421-0247-06544,0.012
e15541,247,4/22/2024 6:37,0421-0247-06531,0.001
e15541,247,4/22/2024 6:37,0421-0247-06555,0.02
e15541,247,4/22/2024 6:37,0421-0247-06537,0.01
e15541,247,4/22/2024 6:38,0421-0247-06559,0.017
e15541,247,4/22/2024 6:38,0421-0247-06560,0.013
e15541,247,4/22/2024 6:38,0421-0247-06547,0.023
e15541,247,4/22/2024 6:38,0421-0247-06553,0.008
e15541,247,4/22/2024 6:39,0421-0247-06572,0.012
e15541,247,4/22/2024 6:39,0421-0247-06568,0.013
e15541,247,4/22/2024 6:39,0421-0247-06582,0.012
e15541,247,4/22/2024 6:39,0421-0247-06579,0
e15541,247,4/22/2024 6:39,0421-0247-06591,0.024
e15541,247,4/22/2024 6:40,0421-0247-06587,0.002
e15541,247,4/22/2024 6:40,0422-0247-00013,65.533
e15541,247,4/22/2024 6:40,0422-0247-00020,0.015
e15541,247,4/22/2024 6:40,0422-0247-00011,0
e15541,247,4/22/2024 6:41,0422-0247-00028,0.004
e15541,247,4/22/2024 6:41,0422-0247-00034,65.53
e15541,247,4/22/2024 6:41,0422-0247-00041,0.018
e15541,247,4/22/2024 6:41,0422-0247-00039,0.042
e15541,247,4/22/2024 6:41,0422-0247-00027,0.015
e15541,247,4/22/2024 6:42,0422-0247-00047,0.011
e15541,247,4/22/2024 6:42,0422-0247-00050,0.008
e15541,247,4/22/2024 6:42,0422-0247-00037,0
e15541,247,4/22/2024 6:42,0422-0247-00059,0.006
e15541,247,4/22/2024 6:42,0422-0247-00048,0.005
e15541,247,4/22/2024 6:43,0422-0247-00069,0.009
e15541,247,4/22/2024 6:43,0422-0247-00063,0
e15541,247,4/22/2024 6:43,0422-0247-00060,0.003
e15541,247,4/22/2024 6:43,0422-0247-00080,0.012
e15541,247,4/22/2024 6:43,0422-0247-00073,0.009
e15541,247,4/22/2024 6:44,0422-0247-00091,0.003
e15541,247,4/22/2024 6:44,0422-0247-00078,0.002
e15541,247,4/22/2024 6:44,0422-0247-00101,0.003
e15541,247,4/22/2024 6:45,0422-0247-00096,0.004
e15541,247,4/22/2024 6:45,0422-0247-00098,0.001
e15541,247,4/22/2024 6:45,0422-0247-00106,0.002
e15541,247,4/22/2024 6:45,0422-0247-00097,0.009
e15541,247,4/22/2024 6:45,0422-0247-00120,0.008
e15541,247,4/22/2024 6:45,0422-0247-00113,0.01
e15541,247,4/22/2024 6:46,0422-0247-00109,0.008
e15541,247,4/22/2024 6:46,0422-0247-00124,0.004
e15541,247,4/22/2024 6:46,0422-0247-00131,0.005
e15541,247,4/22/2024 6:46,0422-0247-00122,0.007
e15541,247,4/22/2024 6:46,0422-0247-00143,0.009
e15541,247,4/22/2024 6:47,0422-0247-00138,65.532
e15541,247,4/22/2024 6:47,0422-0247-00134,0.014
e15541,247,4/22/2024 6:47,0422-0247-00152,0.001
e15541,247,4/22/2024 6:47,0422-0247-00155,0.009
e15541,247,4/22/2024 6:47,0422-0247-00147,0.034
e15541,247,4/22/2024 6:48,0422-0247-00170,0.024
e15541,247,4/22/2024 6:48,0422-0247-00153,0.013
e15541,247,4/22/2024 6:48,0422-0247-00175,0.003
e15541,247,4/22/2024 6:48,0422-0247-00159,0.008
e15541,247,4/22/2024 6:48,0422-0247-00174,0.002
e15541,247,4/22/2024 6:49,0422-0247-00178,0.009
e15541,247,4/22/2024 6:49,0422-0247-00171,0.012
e15541,247,4/22/2024 6:49,0422-0247-00182,0.011
e15541,247,4/22/2024 6:49,0422-0247-00192,0.003
e15541,247,4/22/2024 6:49,0422-0247-00199,0.007
e15541,247,4/22/2024 6:50,0422-0247-00190,0.01
e15541,247,4/22/2024 9:21,0422-0247-00207,0.014
e15541,247,4/22/2024 9:21,0422-0247-00204,0.013
e15541,247,4/22/2024 9:21,0422-0247-00201,0.005
e15541,247,4/22/2024 9:22,0422-0247-00214,65.534
e15541,247,4/22/2024 9:22,0422-0247-00212,0.016
e15541,247,4/22/2024 9:22,0422-0247-00227,65.535
e15541,247,4/22/2024 9:22,0422-0247-00225,0.009
e15541,247,4/22/2024 9:22,0422-0247-00219,0.001
e15541,247,4/22/2024 9:23,0422-0247-00247,0.007
e15541,247,4/22/2024 9:23,0422-0247-00233,0
e15541,247,4/22/2024 9:23,0422-0247-00234,65.534
e15541,247,4/22/2024 9:23,0422-0247-00254,0.005
e15541,247,4/22/2024 9:24,0422-0247-00246,0.011
e15541,247,4/22/2024 9:24,0422-0247-00263,65.527
e15541,247,4/22/2024 9:24,0422-0247-00251,0.01
e15541,247,4/22/2024 9:24,0422-0247-00270,0.016
e15541,247,4/22/2024 9:24,0422-0247-00253,0.038
e15541,247,4/22/2024 9:24,0422-0247-00264,0.005
e15541,247,4/22/2024 9:25,0422-0247-00262,0.008
e15541,247,4/22/2024 9:25,0422-0247-00266,0.014
e15541,247,4/22/2024 9:25,0422-0247-00288,65.525
e15541,247,4/22/2024 9:25,0422-0247-00301,0.006
e15541,247,4/22/2024 9:26,0422-0247-00277,0
e15541,247,4/22/2024 9:26,0422-0247-00298,0.001
e15541,247,4/22/2024 9:26,0422-0247-00293,0.013
e15541,247,4/22/2024 9:26,0422-0247-00304,0.004
e15541,247,4/22/2024 9:26,0422-0247-00296,65.535
e15541,247,4/22/2024 9:27,0422-0247-00322,0.01
e15541,247,4/22/2024 9:27,0422-0247-00318,0
e15541,247,4/22/2024 9:27,0422-0247-00316,65.532
e15541,247,4/22/2024 9:27,0422-0247-00314,0.005
e15541,247,4/22/2024 9:27,0422-0247-00329,65.534
e15541,247,4/22/2024 9:28,0422-0247-00333,0.008
e15541,247,4/22/2024 9:28,0422-0247-00336,0.014
e15541,247,4/22/2024 9:28,0422-0247-00345,0.016
e15541,247,4/22/2024 9:28,0422-0247-00331,0.008
e15541,247,4/22/2024 9:29,0422-0247-00343,65.532
e15541,247,4/22/2024 9:29,0422-0247-00349,65.535
e15541,247,4/22/2024 9:29,0422-0247-00348,0.016
e15541,247,4/22/2024 9:29,0422-0247-00355,65.533
e15541,247,4/22/2024 9:30,0422-0247-00366,0.006
e15541,247,4/22/2024 9:30,0422-0247-00367,0.004
e15541,247,4/22/2024 9:31,0422-0247-00382,0
e15541,247,4/22/2024 9:31,0422-0247-00361,0.005
e15541,247,4/22/2024 9:31,0422-0247-00368,65.534
e15541,247,4/22/2024 9:31,0422-0247-00372,0
e15541,247,4/22/2024 9:32,0422-0247-00385,65.535
e15541,247,4/22/2024 9:32,0422-0247-00399,0.011
e15541,247,4/22/2024 9:32,0422-0247-00384,65.523
e15541,247,4/22/2024 9:32,0422-0247-00388,0
e15541,247,4/22/2024 9:32,0422-0247-00408,0.023
e15541,247,4/22/2024 9:33,0422-0247-00396,0.003
