equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15543,451,4/22/2024 6:02,0422-0451-00000,0
e15543,247,4/22/2024 6:10,0421-0247-06092,0.013
e15543,247,4/22/2024 6:10,0421-0247-06106,0
e15543,247,4/22/2024 6:11,0421-0247-06107,0.006
e15543,247,4/22/2024 6:11,0421-0247-06110,0.044
e15543,247,4/22/2024 6:12,0421-0247-06111,0.013
e15543,247,4/22/2024 6:12,0421-0247-06116,0.044
e15543,247,4/22/2024 6:12,0421-0247-06118,0.009
e15543,247,4/22/2024 6:12,0421-0247-06123,0.031
e15543,247,4/22/2024 6:12,0421-0247-06128,0.002
e15543,247,4/22/2024 6:13,0421-0247-06129,0.005
e15543,247,4/22/2024 6:13,0421-0247-06133,0.015
e15543,247,4/22/2024 6:13,0421-0247-06136,0.01
e15543,247,4/22/2024 6:13,0421-0247-06135,0.019
e15543,247,4/22/2024 6:13,0421-0247-06142,0.011
e15543,247,4/22/2024 6:16,0421-0247-06145,0.001
e15543,247,4/22/2024 6:17,0421-0247-06157,0.005
e15543,247,4/22/2024 6:17,0421-0247-06151,0
e15543,247,4/22/2024 6:18,0421-0247-06160,0.002
e15543,247,4/22/2024 6:18,0421-0247-06162,0.001
e15543,247,4/22/2024 6:18,0421-0247-06168,0.008
e15543,247,4/22/2024 6:18,0421-0247-06172,0.011
e15543,247,4/22/2024 6:19,0421-0247-06177,0.006
e15543,247,4/22/2024 6:19,0421-0247-06178,0.018
e15543,247,4/22/2024 6:19,0421-0247-06182,0.015
e15543,247,4/22/2024 6:19,0421-0247-06169,0.017
e15543,247,4/22/2024 6:20,0421-0247-06191,0.005
e15543,247,4/22/2024 6:20,0421-0247-06194,0.01
e15543,247,4/22/2024 6:20,0421-0247-06183,0.008
e15543,247,4/22/2024 6:20,0421-0247-06202,0.008
e15543,247,4/22/2024 6:21,0421-0247-06211,0.009
e15543,247,4/22/2024 6:21,0421-0247-06195,0.038
e15543,247,4/22/2024 6:22,0421-0247-06212,0.021
e15543,247,4/22/2024 6:22,0421-0247-06213,65.532
e15543,247,4/22/2024 6:22,0421-0247-06203,0.007
e15543,247,4/22/2024 6:23,0421-0247-06217,0.001
e15543,247,4/22/2024 6:23,0421-0247-06229,0.013
e15543,247,4/22/2024 6:23,0421-0247-06226,0.01
e15543,247,4/22/2024 6:23,0421-0247-06227,0.002
e15543,247,4/22/2024 6:23,0421-0247-06246,0.004
e15543,247,4/22/2024 6:24,0421-0247-06249,0.06
e15543,247,4/22/2024 6:24,0421-0247-06244,0.001
e15543,247,4/22/2024 6:25,0421-0247-06256,0.011
e15543,247,4/22/2024 6:25,0421-0247-06255,0.001
e15543,247,4/22/2024 6:25,0421-0247-06262,0.02
e15543,247,4/22/2024 6:25,0421-0247-06261,0.009
e15543,247,4/22/2024 6:25,0421-0247-06267,0.007
