equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15542,451,4/22/2024 6:02,0422-0451-00000,0
e15542,247,4/22/2024 6:10,0421-0247-06097,0.002
e15542,247,4/22/2024 6:10,0421-0247-06103,0.007
e15542,247,4/22/2024 6:10,0421-0247-06104,65.531
e15542,247,4/22/2024 6:11,0421-0247-06108,65.534
e15542,247,4/22/2024 6:11,0421-0247-06112,0.05
e15542,247,4/22/2024 6:11,0421-0247-06117,0.007
e15542,247,4/22/2024 6:11,0421-0247-06122,0.009
e15542,247,4/22/2024 6:12,0421-0247-06124,0.008
e15542,247,4/22/2024 6:12,0421-0247-06130,0.01
e15542,247,4/22/2024 6:12,0421-0247-06139,0.008
e15542,247,4/22/2024 6:12,0421-0247-06141,0.002
e15542,247,4/22/2024 6:12,0421-0247-06147,0
e15542,247,4/22/2024 6:13,0421-0247-06159,65.535
e15542,247,4/22/2024 6:13,0421-0247-06152,65.533
e15542,247,4/22/2024 6:13,0421-0247-06166,65.535
e15542,247,4/22/2024 6:13,0421-0247-06150,0.117
e15542,247,4/22/2024 6:14,0421-0247-06174,65.53
e15542,247,4/22/2024 6:17,0421-0247-06179,0.011
e15542,247,4/22/2024 6:17,0421-0247-06180,0
e15542,247,4/22/2024 6:18,0421-0247-06185,0.006
e15542,247,4/22/2024 6:18,0421-0247-06188,0.003
e15542,247,4/22/2024 6:18,0421-0247-06175,0.001
e15542,247,4/22/2024 6:18,0421-0247-06197,0.006
e15542,247,4/22/2024 6:18,0421-0247-06200,0
e15542,247,4/22/2024 6:19,0421-0247-06189,0.008
e15542,247,4/22/2024 6:19,0421-0247-06207,0.01
e15542,247,4/22/2024 6:19,0421-0247-06220,0.009
e15542,247,4/22/2024 6:20,0421-0247-06219,65.532
e15542,247,4/22/2024 6:20,0421-0247-06204,0.009
e15542,247,4/22/2024 6:20,0421-0247-06223,0.001
e15542,247,4/22/2024 6:20,0421-0247-06234,0.009
e15542,247,4/22/2024 6:20,0421-0247-06236,0.012
e15542,247,4/22/2024 6:21,0421-0247-06237,0.013
e15542,247,4/22/2024 6:21,0421-0247-06243,0
e15542,247,4/22/2024 6:21,0421-0247-06238,65.531
e15542,247,4/22/2024 6:23,0421-0247-06245,0.007
e15542,247,4/22/2024 6:23,0421-0247-06250,65.535
e15542,247,4/22/2024 6:23,0421-0247-06257,0
e15542,247,4/22/2024 6:23,0421-0247-06264,65.534
e15542,247,4/22/2024 6:23,0421-0247-06265,0.001
e15542,247,4/22/2024 6:24,0421-0247-06273,0.004
e15542,247,4/22/2024 6:24,0421-0247-06279,0
e15542,247,4/22/2024 6:25,0421-0247-06284,0.002
e15542,247,4/22/2024 6:25,0421-0247-06286,0.004
e15542,247,4/22/2024 6:25,0421-0247-06292,0.01
e15542,247,4/22/2024 6:25,0421-0247-06300,0.008
e15542,247,4/22/2024 6:25,0421-0247-06299,65.532
e15542,247,4/22/2024 6:25,0421-0247-06302,0
e15542,247,4/22/2024 6:26,0421-0247-06301,65.525
e15542,247,4/22/2024 6:26,0421-0247-06303,0.002
e15542,247,4/22/2024 6:26,0421-0247-06317,0.012
e15542,247,4/22/2024 6:26,0421-0247-06312,0.01
e15542,247,4/22/2024 6:27,0421-0247-06320,0
e15542,247,4/22/2024 6:27,0421-0247-06313,0
e15542,247,4/22/2024 6:27,0421-0247-06340,0.008
e15542,247,4/22/2024 6:27,0421-0247-06326,0.003
e15542,247,4/22/2024 6:27,0421-0247-06333,0.015
e15542,247,4/22/2024 6:27,0421-0247-06345,0.006
e15542,247,4/22/2024 6:28,0421-0247-06348,0.001
e15542,247,4/22/2024 6:28,0421-0247-06344,0.001
e15542,247,4/22/2024 6:28,0421-0247-06346,0.016
e15542,247,4/22/2024 6:28,0421-0247-06350,0.009
e15542,247,4/22/2024 6:28,0421-0247-06356,0.009
e15542,247,4/22/2024 6:29,0421-0247-06359,0.014
e15542,247,4/22/2024 6:29,0421-0247-06374,0.01
e15542,247,4/22/2024 6:29,0421-0247-06370,0.005
e15542,247,4/22/2024 6:29,0421-0247-06382,0.029
e15542,247,4/22/2024 6:30,0421-0247-06380,65.535
e15542,247,4/22/2024 6:30,0421-0247-06375,0.004
e15542,247,4/22/2024 6:30,0421-0247-06383,0.018
e15542,247,4/22/2024 6:31,0421-0247-06396,0.001
e15542,247,4/22/2024 6:31,0421-0247-06395,0.004
e15542,247,4/22/2024 6:31,0421-0247-06399,0.011
e15542,247,4/22/2024 6:31,0421-0247-06411,0.022
e15542,247,4/22/2024 6:31,0421-0247-06418,0.002
e15542,247,4/22/2024 6:31,0421-0247-06402,0
e15542,247,4/22/2024 6:32,0421-0247-06417,0.014
e15542,247,4/22/2024 6:32,0421-0247-06430,0.007
e15542,247,4/22/2024 6:32,0421-0247-06434,0.001
e15542,247,4/22/2024 6:33,0421-0247-06441,0.015
e15542,247,4/22/2024 6:33,0421-0247-06432,0.014
e15542,247,4/22/2024 6:33,0421-0247-06424,0.015
e15542,247,4/22/2024 6:33,0421-0247-06428,0.012
e15542,247,4/22/2024 6:33,0421-0247-06433,0.007
e15542,247,4/22/2024 6:34,0421-0247-06458,0.001
e15542,247,4/22/2024 6:34,0421-0247-06454,0.006
e15542,247,4/22/2024 6:34,0421-0247-06459,0.006
e15542,247,4/22/2024 6:34,0421-0247-06464,0.011
e15542,247,4/22/2024 6:35,0421-0247-06470,0
e15542,247,4/22/2024 6:35,0421-0247-06486,0.04
e15542,247,4/22/2024 6:35,0421-0247-06469,0.008
e15542,247,4/22/2024 6:35,0421-0247-06492,0.014
e15542,247,4/22/2024 6:35,0421-0247-06500,0.064
e15542,247,4/22/2024 6:36,0421-0247-06504,0.009
e15542,247,4/22/2024 6:36,0421-0247-06512,0.032
e15542,247,4/22/2024 6:36,0421-0247-06506,0.012
e15542,247,4/22/2024 6:36,0421-0247-06511,0.004
e15542,247,4/22/2024 6:36,0421-0247-06513,65.535
e15542,247,4/22/2024 6:37,0421-0247-06508,0.012
e15542,247,4/22/2024 6:37,0421-0247-06523,0.007
e15542,247,4/22/2024 6:37,0421-0247-06527,0.008
e15542,247,4/22/2024 6:38,0421-0247-06538,0.013
e15542,247,4/22/2024 6:38,0421-0247-06539,0
e15542,247,4/22/2024 6:38,0421-0247-06525,0.012
e15542,247,4/22/2024 6:38,0421-0247-06536,0.009
e15542,247,4/22/2024 6:38,0421-0247-06551,0.037
e15542,247,4/22/2024 6:38,0421-0247-06556,0.016
e15542,247,4/22/2024 6:39,0421-0247-06558,0.025
e15542,247,4/22/2024 6:39,0421-0247-06541,0.019
e15542,247,4/22/2024 6:39,0421-0247-06564,0.007
e15542,247,4/22/2024 6:39,0421-0247-06566,0.013
e15542,247,4/22/2024 6:39,0421-0247-06571,0.015
e15542,247,4/22/2024 6:40,0421-0247-06576,0.011
e15542,247,4/22/2024 6:40,0421-0247-06578,0.009
e15542,247,4/22/2024 6:40,0421-0247-06574,0.005
e15542,247,4/22/2024 6:40,0421-0247-06590,0.019
e15542,247,4/22/2024 6:41,0422-0247-00010,0.016
e15542,247,4/22/2024 6:41,0422-0247-00008,0.006
e15542,247,4/22/2024 6:41,0422-0247-00009,0.001
e15542,247,4/22/2024 6:41,0422-0247-00019,0.003
e15542,247,4/22/2024 6:41,0422-0247-00029,0.017
e15542,247,4/22/2024 6:42,0422-0247-00017,0.008
e15542,247,4/22/2024 6:42,0422-0247-00038,0.017
e15542,247,4/22/2024 6:42,0422-0247-00040,0.015
e15542,247,4/22/2024 6:42,0422-0247-00044,0.01
e15542,247,4/22/2024 6:42,0422-0247-00030,0
e15542,247,4/22/2024 6:43,0422-0247-00053,0.01
e15542,247,4/22/2024 6:43,0422-0247-00057,0.018
e15542,247,4/22/2024 6:43,0422-0247-00068,0.008
e15542,247,4/22/2024 6:43,0422-0247-00054,0.01
e15542,247,4/22/2024 6:44,0422-0247-00076,0.007
e15542,247,4/22/2024 6:44,0422-0247-00074,0.005
e15542,247,4/22/2024 6:44,0422-0247-00070,0
e15542,247,4/22/2024 6:44,0422-0247-00066,0.011
e15542,247,4/22/2024 6:45,0422-0247-00083,0.01
e15542,247,4/22/2024 6:45,0422-0247-00079,0.012
e15542,247,4/22/2024 6:45,0422-0247-00072,0.014
e15542,247,4/22/2024 6:45,0422-0247-00085,0
e15542,247,4/22/2024 6:45,0422-0247-00086,0.001
e15542,247,4/22/2024 6:45,0422-0247-00087,0.007
e15542,247,4/22/2024 6:46,0422-0247-00104,0.007
e15542,247,4/22/2024 6:46,0422-0247-00105,0.006
e15542,247,4/22/2024 6:46,0422-0247-00103,0.004
e15542,247,4/22/2024 6:46,0422-0247-00123,0.02
e15542,247,4/22/2024 6:46,0422-0247-00121,0.016
e15542,247,4/22/2024 6:47,0422-0247-00112,0.005
e15542,247,4/22/2024 6:47,0422-0247-00132,0.004
e15542,247,4/22/2024 6:47,0422-0247-00136,0.003
e15542,247,4/22/2024 6:47,0422-0247-00125,0.009
e15542,247,4/22/2024 6:47,0422-0247-00142,0.023
e15542,247,4/22/2024 6:48,0422-0247-00139,0.009
e15542,247,4/22/2024 6:48,0422-0247-00149,0.008
e15542,247,4/22/2024 6:48,0422-0247-00157,0.009
e15542,247,4/22/2024 6:48,0422-0247-00161,0.014
e15542,247,4/22/2024 6:49,0422-0247-00167,0
e15542,247,4/22/2024 6:49,0422-0247-00164,0
e15542,247,4/22/2024 6:49,0422-0247-00168,0.022
