equipment ID,Part number,Processed date/time,Lot No.,Measured Value
e15540,451,4/22/2024 6:01,0422-0451-00000,0
e15540,247,4/22/2024 6:10,0421-0247-06094,0.052
e15540,247,4/22/2024 6:10,0421-0247-06098,0.02
e15540,247,4/22/2024 6:10,0421-0247-06100,0.023
e15540,247,4/22/2024 6:10,0421-0247-06114,0.042
e15540,247,4/22/2024 6:11,0421-0247-06119,0.031
e15540,247,4/22/2024 6:11,0421-0247-06121,0.034
e15540,247,4/22/2024 6:11,0421-0247-06126,0.027
e15540,247,4/22/2024 6:11,0421-0247-06132,0.021
e15540,247,4/22/2024 6:11,0421-0247-06134,0.034
e15540,247,4/22/2024 6:12,0421-0247-06137,0.023
e15540,247,4/22/2024 6:12,0421-0247-06140,0.035
e15540,247,4/22/2024 6:12,0421-0247-06146,0.039
e15540,247,4/22/2024 6:12,0421-0247-06149,0.023
e15540,247,4/22/2024 6:12,0421-0247-06156,0.034
e15540,247,4/22/2024 6:13,0421-0247-06165,0.134
e15540,247,4/22/2024 6:13,0421-0247-06154,0.024
e15540,247,4/22/2024 6:13,0421-0247-06170,0.03
e15540,247,4/22/2024 6:13,0421-0247-06181,0.024
e15540,247,4/22/2024 6:14,0421-0247-06186,0.041
e15540,247,4/22/2024 6:14,0421-0247-06173,0.015
e15540,247,4/22/2024 6:14,0421-0247-06192,0.057
e15540,247,4/22/2024 6:14,0421-0247-06199,0.04
e15540,247,4/22/2024 6:14,0421-0247-06184,0.037
e15540,247,4/22/2024 6:15,0421-0247-06206,0.04
e15540,247,4/22/2024 6:15,0421-0247-06214,0.049
e15540,247,4/22/2024 6:15,0421-0247-06196,0.019
e15540,247,4/22/2024 6:15,0421-0247-06218,0.037
e15540,247,4/22/2024 6:15,0421-0247-06221,0.044
e15540,247,4/22/2024 6:16,0421-0247-06205,0.05
e15540,247,4/22/2024 6:16,0421-0247-06228,0.037
e15540,247,4/22/2024 6:18,0421-0247-06230,0.039
e15540,247,4/22/2024 6:18,0421-0247-06208,0.018
e15540,247,4/22/2024 6:18,0421-0247-06210,0.027
e15540,247,4/22/2024 6:18,0421-0247-06216,0.018
e15540,247,4/22/2024 6:18,0421-0247-06224,0.088
e15540,247,4/22/2024 6:19,0421-0247-06235,0.038
e15540,247,4/22/2024 6:19,0421-0247-06242,0.374
e15540,247,4/22/2024 6:19,0421-0247-06233,0.023
e15540,247,4/22/2024 6:19,0421-0247-06247,0.02
e15540,247,4/22/2024 6:19,0421-0247-06252,0.096
e15540,247,4/22/2024 6:20,0421-0247-06251,0.023
e15540,247,4/22/2024 6:20,0421-0247-06254,0.029
e15540,247,4/22/2024 6:20,0421-0247-06260,0.018
e15540,247,4/22/2024 6:21,0421-0247-06266,0.029
e15540,247,4/22/2024 6:21,0421-0247-06272,0.028
e15540,247,4/22/2024 6:21,0421-0247-06278,0.015
e15540,247,4/22/2024 6:22,0421-0247-06275,0.025
